id,title,description,category,image_url,link,featured,tags,use_cases,price_tier
1,"Transform static contracts into operational data","Extract data from contracts and power operational workflows with live signals for marketing, support, and sales teams.",Operations,https://images.ctfassets.net/wl95ljfippl8/3rBpepnoYrBMNiJiManqVa/6288615b7466f77faa64ec03c9e79207/image16x9-ai-play-contract-operations716x424.webp?fm=webp,/ai-plays/contract-operations,TRUE,"contract-management,data-extraction,automation,operations","contract-processing,workflow-automation,sales-enablement",enterprise
2,"Generate high-impact campaign concepts","Use AI to turn a single brief into multiple campaign directions in seconds.",Marketing & Creative,https://images.ctfassets.net/wl95ljfippl8/2WnytfcuYaUdNeF4I6b3BR/25974f50f6340f5538cd1b8e6c65240e/image16x9-campaign-concept-ideation.webp?fm=webp,/ai-plays/campaign-concept-ideation,TRUE,"marketing,campaign-generation,creative,ideation","campaign-planning,creative-development,marketing-strategy",professional
3,"Accelerate event production from planning to follow-up","Streamline event research and personalize outreach by using AI to enrich attendee profiles.",Marketing & Creative,https://images.ctfassets.net/wl95ljfippl8/3Sc5SRbjXmFoP5nyXBU1sS/9e984947810feaa28a7ef7bc47b03a46/image16x9-event-attendee-research.webp?fm=webp,/ai-plays/event-attendee-research,TRUE,"event-management,research,personalization,outreach","event-planning,attendee-engagement,follow-up-automation",professional
4,"Localize image and copy variants at scale","Instantly adapt marketing content for any region, ensure cultural relevance, and maintain global brand consistency.",Marketing & Creative,https://images.ctfassets.net/wl95ljfippl8/3SRUrcwBlUJSK5U50KEWgs/8399ba2ae83412a7957effcdfd83992e/image16x9-asset-localization.webp?fm=webp,/ai-plays/localize-images-copy,FALSE,"localization,content-adaptation,branding,global-marketing","international-marketing,content-localization,brand-management",enterprise
5,"Run instant brand and compliance reviews","Use our brand checker to analyze marketing assets against your brand guidelines, provide a pass/fail assessment, and notify designers on what to change.",Marketing & Creative,https://images.ctfassets.net/wl95ljfippl8/oV0luqxvcvTgydfFPQRj9/54c0780691607c294adfe97bd58ac466/image16x9-ai-play-brand-compliance-checker.webp?fm=webp,/ai-plays/brand-and-compliance-checker,FALSE,"brand-compliance,quality-assurance,design-review,automation","brand-management,asset-review,compliance-checking",professional
6,"Automate competitor product research","Instantly run a competitive analysis that benchmarks your performance against top competitors using up-to-date intelligence sourced directly from the web.",Digital Product,https://images.ctfassets.net/wl95ljfippl8/2PfugRb9M4PvVB3SDwJE3i/b93ff0300299f999e2cc2f6e2717d827/image16x9-competitive-product-analysis.webp?fm=webp,/ai-plays/competitive-feature-radar,FALSE,"competitive-analysis,market-research,product-intelligence,benchmarking","market-analysis,product-strategy,competitive-intelligence",professional
7,"Discover marketing insights in customer feedback","Turn customer feedback data from reviews and social media into actionable insights that inform your marketing strategy and messaging.",Marketing & Creative,https://images.ctfassets.net/wl95ljfippl8/3JuvdDrz2FZtdfwDffMNUj/51c60343fafba6568b25e0fe65d9d0d0/image16x9-ai-play-customer-insights-marketing.webp?fm=webp,/ai-plays/marketing-customer-insights,FALSE,"customer-insights,feedback-analysis,marketing-strategy,sentiment-analysis","customer-research,marketing-optimization,messaging-development",professional
8,"Analyze product feedback at scale","Use AI customer feedback analysis to turn product feedback data into executive-ready reports and ground every product decision in the voice of your customer.",Digital Product,https://images.ctfassets.net/wl95ljfippl8/6laX2wls0QNGp16jgFi6c/772c157edba6da8dce276d580f2d90fc/image16x9-ai-play-customer-insights-product.webp?fm=webp,/ai-plays/product-feedback-management,FALSE,"product-feedback,customer-voice,analytics,reporting","product-development,feedback-management,decision-support",enterprise
9,"Auto-generate executive briefings","Use AI to generate tailored briefings for executives based on their unique needs and potential questions.",Operations,https://images.ctfassets.net/wl95ljfippl8/3D61itiA6PigIaWRgE173L/98746ba9df4173ca865581ab18f12d8b/imag16x9-customized-status-summaries.webp?fm=webp,/ai-plays/customized-status-summaries,FALSE,"executive-communication,reporting,automation,briefings","executive-reporting,status-updates,communication-automation",enterprise
10,"Visualize new ways to merchandise your product line","Turn basic product details and on-white images to a fully merchandised, market-ready product catalog with product names and descriptions.",Physical Product,https://images.ctfassets.net/wl95ljfippl8/QgjTk02VsB9PGEng95yat/947cb315fbe68f20b20b7d47a4aa3e1b/image16x9-ai-play-product-content-merchandising716x424.webp?fm=webp,/ai-plays/product-content-merchandising,FALSE,"product-merchandising,catalog-generation,e-commerce,visual-merchandising","product-catalog,merchandising,e-commerce-optimization",professional
